datetime,Actual Demand MW,Predicted Demand MW,hour,day_of_week,month,is_weekend,is_peak_hour,Absolute Error MW
2023-06-09 21:00:00,12662.0,13173.24,21,4,6,0,1,511.2399999999998
2023-06-09 22:00:00,12690.0,13109.75,22,4,6,0,1,419.75
2023-06-09 23:00:00,12568.0,12520.32,23,4,6,0,0,47.68000000000029
2023-06-10 00:00:00,12110.0,12256.93,0,5,6,1,0,146.9300000000003
2023-06-10 01:00:00,11500.0,12047.01,1,5,6,1,0,547.0100000000002
2023-06-10 02:00:00,11175.0,11766.04,2,5,6,1,0,591.0400000000009
2023-06-10 03:00:00,11000.0,11597.48,3,5,6,1,0,597.4799999999996
2023-06-10 04:00:00,10785.0,11438.82,4,5,6,1,0,653.8199999999997
2023-06-10 05:00:00,10370.0,11305.04,5,5,6,1,0,935.0400000000009
2023-06-10 06:00:00,10313.0,11115.53,6,5,6,1,0,802.5300000000007
2023-06-10 07:00:00,10420.0,11039.33,7,5,6,1,0,619.3299999999999
2023-06-10 08:00:00,10865.0,10985.84,8,5,6,1,0,120.84000000000015
2023-06-10 09:00:00,11279.0,11103.2,9,5,6,1,0,175.79999999999927
2023-06-10 10:00:00,11570.0,11237.75,10,5,6,1,0,332.25
2023-06-10 11:00:00,12150.0,11543.45,11,5,6,1,0,606.5499999999993
2023-06-10 12:00:00,12140.0,11436.53,12,5,6,1,0,703.4699999999993
2023-06-10 13:00:00,12100.0,11524.48,13,5,6,1,0,575.5200000000004
2023-06-10 14:00:00,12120.0,11554.79,14,5,6,1,0,565.2099999999991
2023-06-10 15:00:00,11850.0,11589.83,15,5,6,1,0,260.1700000000001
2023-06-10 16:00:00,11670.0,11521.81,16,5,6,1,0,148.1900000000005
2023-06-10 17:00:00,11385.0,11777.77,17,5,6,1,0,392.77000000000044
2023-06-10 18:00:00,12680.0,12395.35,18,5,6,1,1,284.64999999999964
2023-06-10 18:30:00,13850.0,12899.23,18,5,6,1,1,950.7700000000004
2023-06-10 19:00:00,13695.0,13481.43,19,5,6,1,1,213.5699999999997
2023-06-10 20:00:00,13950.0,13777.18,20,5,6,1,1,172.8199999999997
2023-06-10 21:00:00,13734.0,13572.48,21,5,6,1,1,161.52000000000044
2023-06-10 22:00:00,13421.0,13491.3,22,5,6,1,1,70.29999999999927
2023-06-10 23:00:00,13143.0,12792.42,23,5,6,1,0,350.5799999999999
2023-06-11 00:00:00,12850.0,12059.14,0,6,6,1,0,790.8600000000006
2023-06-11 01:00:00,12650.0,11927.27,1,6,6,1,0,722.7299999999996
2023-06-11 02:00:00,12300.0,11864.16,2,6,6,1,0,435.84000000000015
2023-06-11 03:00:00,12100.0,11732.83,3,6,6,1,0,367.1700000000001
2023-06-11 04:00:00,11900.0,11632.36,4,6,6,1,0,267.6399999999994
2023-06-11 05:00:00,11250.0,11601.91,5,6,6,1,0,351.90999999999985
2023-06-11 06:00:00,11320.0,11403.02,6,6,6,1,0,83.02000000000044
2023-06-11 07:00:00,11250.0,11554.63,7,6,6,1,0,304.6299999999992
2023-06-11 08:00:00,11900.0,11627.56,8,6,6,1,0,272.4400000000005
2023-06-11 09:00:00,12050.0,11978.53,9,6,6,1,0,71.46999999999935
2023-06-11 10:00:00,12231.0,12169.06,10,6,6,1,0,61.94000000000051
2023-06-11 11:00:00,12526.0,12452.83,11,6,6,1,0,73.17000000000007
2023-06-11 12:00:00,12849.0,12405.19,12,6,6,1,0,443.8099999999995
2023-06-11 13:00:00,12792.0,12574.11,13,6,6,1,0,217.88999999999942
2023-06-11 14:00:00,13136.0,12537.88,14,6,6,1,0,598.1200000000008
2023-06-11 15:00:00,12750.0,12691.71,15,6,6,1,0,58.29000000000087
2023-06-11 16:00:00,12450.0,12529.3,16,6,6,1,0,79.29999999999927
2023-06-11 17:00:00,12150.0,12670.96,17,6,6,1,0,520.9599999999991
2023-06-11 18:00:00,13450.0,13277.18,18,6,6,1,1,172.8199999999997
2023-06-11 18:30:00,14100.0,14121.06,18,6,6,1,1,21.05999999999949
2023-06-11 19:00:00,13940.0,14111.21,19,6,6,1,1,171.20999999999913
2023-06-11 20:00:00,14040.0,14030.02,20,6,6,1,1,9.979999999999563
2023-06-11 21:00:00,13600.0,14040.17,21,6,6,1,1,440.1700000000001
2023-06-11 22:00:00,13500.0,13835.53,22,6,6,1,1,335.53000000000065
2023-06-11 23:00:00,13300.0,13247.35,23,6,6,1,0,52.649999999999636
2023-06-12 00:00:00,12900.0,12628.21,0,0,6,0,0,271.7900000000009
2023-06-12 01:00:00,12650.0,12430.47,1,0,6,0,0,219.53000000000065
2023-06-12 02:00:00,12500.0,12322.01,2,0,6,0,0,177.98999999999978
2023-06-12 03:00:00,12300.0,12256.21,3,0,6,0,0,43.79000000000087
2023-06-12 04:00:00,11800.0,12095.31,4,0,6,0,0,295.3099999999995
2023-06-12 05:00:00,11200.0,11939.68,5,0,6,0,0,739.6800000000003
2023-06-12 06:00:00,10900.0,11699.03,6,0,6,0,0,799.0300000000007
2023-06-12 07:00:00,10900.0,11693.83,7,0,6,0,0,793.8299999999999
2023-06-12 08:00:00,11250.0,11709.24,8,0,6,0,0,459.2399999999998
2023-06-12 09:00:00,11600.0,11881.8,9,0,6,0,0,281.7999999999993
2023-06-12 10:00:00,11800.0,12269.18,10,0,6,0,0,469.1800000000003
2023-06-12 11:00:00,11500.0,12220.96,11,0,6,0,0,720.9599999999991
2023-06-12 12:00:00,12050.0,12081.02,12,0,6,0,0,31.020000000000437
2023-06-12 13:00:00,12050.0,12370.71,13,0,6,0,0,320.7099999999991
2023-06-12 14:00:00,12150.0,12308.47,14,0,6,0,0,158.46999999999935
2023-06-12 15:00:00,11900.0,12309.07,15,0,6,0,0,409.0699999999997
2023-06-12 16:00:00,11650.0,12166.18,16,0,6,0,0,516.1800000000003
2023-06-12 17:00:00,11380.0,12291.84,17,0,6,0,0,911.8400000000001
2023-06-12 18:00:00,12780.0,12798.39,18,0,6,0,1,18.389999999999418
2023-06-12 18:30:00,13850.0,13675.24,18,0,6,0,1,174.76000000000022
2023-06-12 19:00:00,13700.0,13809.61,19,0,6,0,1,109.61000000000058
2023-06-12 20:00:00,13700.0,13694.19,20,0,6,0,1,5.809999999999491
2023-06-12 21:00:00,13500.0,13698.36,21,0,6,0,1,198.36000000000058
